State,Year,Child_population,all_removals,ROR,Housing_ROR
California,2012,1300557,24766,19.042610204704598,
Colorado,2012,175053,3871,22.11330282828629,26.0
Connecticut,2012,102464,1270,12.394597126795754,8.0
Delaware,2012,28527,378,13.250604690293407,5.0
District of Columbia,2012,17665,337,19.077271440701953,
Florida,2012,549716,11819,21.500192826841495,442.0
Georgia,2012,349586,4796,13.719084860377704,119.0
Hawaii,2012,45409,780,17.177211565989122,3.0
Idaho,2012,61130,811,13.266808441027319,
Illinois,2012,424818,3483,8.19880513537562,
Indiana,2012,220617,6014,27.259911974145236,60.0
Iowa,2012,101409,3282,32.36399136171346,32.0
Kansas,2012,103058,2892,28.061868074288263,25.0
Kentucky,2012,143611,4426,30.81936620453865,26.0
Louisiana,2012,159558,2301,14.421088256308051,
Maine,2012,35306,705,19.968277346626635,
Maryland,2012,186455,1990,10.672816497278163,20.0
Massachusetts,2012,187652,4156,22.147379191268943,29.0
Michigan,2012,303688,5510,18.143621084797555,14.0
Minnesota,2012,180124,4666,25.90437698474384,60.0
Mississippi,2012,106197,1878,17.68411537049069,29.0
Missouri,2012,197129,4779,24.243008385372015,138.0
Montana,2012,31174,1026,32.912042086354006,
Nebraska,2012,66750,2005,30.0374531835206,20.0
Nevada,2012,95894,2425,25.288339207875364,25.0
New Hampshire,2012,35452,409,11.53672571364098,
New Jersey,2012,274793,4040,14.701975668958088,112.0
New Mexico,2012,73969,1300,17.57493003825927,17.0
New York,2012,593298,8005,13.49237651230916,15.0
North Carolina,2012,320213,3942,12.310555786304741,58.0
North Dakota,2012,22515,641,28.46990894958916,8.0
Ohio,2012,363672,7308,20.095030686992676,39.0
Oklahoma,2012,132925,4189,31.514011660710924,58.0
Oregon,2012,120333,3090,25.678741492358704,13.0
Pennsylvania,2012,371351,7956,21.4244744190806,233.0
Puerto Rico,2012,113821,725,6.3696505917185755,15.0
Rhode Island,2012,29152,976,33.479692645444565,11.0
South Carolina,2012,152199,2127,13.975124672304023,2.0
South Dakota,2012,30035,904,30.098218744797737,13.0
Tennessee,2012,207430,5029,24.244323386202574,46.0
Texas,2012,984240,12761,12.965333658457286,2.0
Utah,2012,133709,1721,12.871235294557582,
Vermont,2012,16351,462,28.255152590055655,3.0
Virginia,2012,259588,2056,7.920242846356534,26.0
Washington,2012,224340,4093,18.244628688597665,9.0
West Virginia,2012,53283,2665,50.015952555224,30.0
Wisconsin,2012,181962,3289,18.075202514810787,39.0
Wyoming,2012,19996,773,38.657731546309265,2.0
Alabama,2013,154615,2387,15.438346861559356,79.0
Alaska,2013,28278,792,28.007638446849143,
Arizona,2013,227775,8257,36.250685983975416,35.0
Arkansas,2013,99922,2912,29.14273133043774,17.0
California,2013,1291918,25883,20.034553276601144,1.0
Colorado,2013,174346,3648,20.92390992623863,41.0
Connecticut,2013,100870,1417,14.047784276791912,7.0
Delaware,2013,28515,295,10.345432228651587,
District of Columbia,2013,18640,314,16.84549356223176,
Florida,2013,550044,10915,19.84386703609166,405.0
Georgia,2013,345538,4601,13.315467473910251,116.0
Hawaii,2013,45823,774,16.891080898238876,2.0
Idaho,2013,60389,922,15.267681200218583,3.0
Illinois,2013,418842,3577,8.540213254640175,
Indiana,2013,218310,6039,27.662498282259172,120.0
Iowa,2013,100673,3437,34.14023621030465,13.0
Kansas,2013,103053,2949,28.616343046781754,23.0
Kentucky,2013,143001,4382,30.643142355647864,24.0
Louisiana,2013,158537,2712,17.10641679860222,
Maine,2013,34495,735,21.307435860269607,4.0
Maryland,2013,186729,1770,9.478977555709076,17.0
Massachusetts,2013,187409,4278,22.827078742216223,23.0
Michigan,2013,299425,5936,19.824663939216833,12.0
Minnesota,2013,179540,4598,25.60989194608444,41.0
Mississippi,2013,105199,2005,19.059116531525966,9.0
Missouri,2013,195979,4882,24.910832283050738,128.0
Montana,2013,31337,1073,34.240673963685104,
Nebraska,2013,66678,2066,30.984732595458773,38.0
Nevada,2013,93914,2511,26.737227676384776,9.0
New Hampshire,2013,34939,471,13.480637682818626,
New Jersey,2013,274712,4066,14.800955182154402,125.0
New Mexico,2013,72610,1470,20.245145296791076,13.0
New York,2013,595835,7146,11.993253165725411,29.0
North Carolina,2013,318194,4085,12.838079913511883,67.0
North Dakota,2013,23224,719,30.959352394075093,3.0
Ohio,2013,361311,7565,20.937640979654645,45.0
Oklahoma,2013,134218,4690,34.94315218525086,67.0
Oregon,2013,119716,2812,23.48892378629423,24.0
Pennsylvania,2013,370033,7557,20.422502857853218,258.0
Puerto Rico,2013,109601,982,8.9597722648516,23.0
Rhode Island,2013,28627,967,33.7792992629336,11.0
South Carolina,2013,151311,2266,14.97577836376734,1.0
South Dakota,2013,30434,664,21.817703883814154,1.0
Tennessee,2013,205978,5272,25.59496645272796,47.0
Texas,2013,987673,12945,13.106564622096585,2.0
Utah,2013,133051,1642,12.341132347746354,
Vermont,2013,16136,520,32.226078334159645,4.0
Virginia,2013,259720,1973,7.596642538117973,39.0
Washington,2013,226020,4395,19.445181842314838,16.0
West Virginia,2013,53223,2699,50.711158709580445,59.0
Wisconsin,2013,180000,3623,20.12777777777778,31.0
Wyoming,2013,20403,782,38.32769690731755,5.0
Alabama,2014,153452,2496,16.26567265333785,107.0
Alaska,2014,27719,931,33.587070240629174,
Arizona,2014,224698,9516,42.3501766815904,58.0
Arkansas,2014,99719,2799,28.068873534632313,48.0
California,2014,1288128,25741,19.983262532915983,
Colorado,2014,173418,3663,21.12237483998201,30.0
Connecticut,2014,28518,1339,46.95280173925241,11.0
Delaware,2014,19659,254,12.920290960883056,3.0
District of Columbia,2014,99110,297,2.9966703662597114,
Florida,2014,550003,11997,21.812608294863846,258.0
Georgia,2014,342022,5933,17.34683733794902,242.0
Hawaii,2014,59357,851,14.336977946998669,6.0
Idaho,2014,46140,852,18.46553966189857,2.0
Illinois,2014,413259,3777,9.139546870122611,2.0
Indiana,2014,217088,7182,33.0833579009434,64.0
Iowa,2014,100339,2864,28.543238421750264,28.0
Kansas,2014,103154,2934,28.442910599685906,22.0
Kentucky,2014,142433,4422,31.04617609683149,21.0
Louisiana,2014,158116,3165,20.016949581320045,
Maine,2014,33724,683,20.252639070098446,
Maryland,2014,187408,1597,8.52151455647571,11.0
Massachusetts,2014,186934,5179,27.704965388853818,17.0
Michigan,2014,296698,5974,20.134952038773434,48.0
Minnesota,2014,179042,4778,26.686475798974545,48.0
Mississippi,2014,102300,2290,22.385141739980448,11.0
Missouri,2014,194363,5479,28.189521668218745,135.0
Montana,2014,31143,1051,33.747551616735706,
Nebraska,2014,67099,1638,24.411690189123533,29.0
Nevada,2014,92329,2608,28.246813027326194,9.0
New Hampshire,2014,33967,408,12.011658374304472,
New Jersey,2014,273530,3835,14.020399956129127,77.0
New Mexico,2014,71973,1682,23.369874814166423,19.0
New York,2014,597992,7312,12.227588328940854,57.0
North Carolina,2014,315265,4351,13.801087973609503,56.0
North Dakota,2014,23931,703,29.376123020350175,3.0
Ohio,2014,358556,7571,21.115251174154107,58.0
Oklahoma,2014,135025,4389,32.5050916496945,46.0
Oregon,2014,118628,2630,22.170145328253028,14.0
Pennsylvania,2014,368273,8470,22.999242409842697,290.0
Puerto Rico,2014,105109,547,5.204121435842792,10.0
Rhode Island,2014,28407,958,33.724082092442,8.0
South Carolina,2014,149768,2576,17.199935900859998,1.0
South Dakota,2014,30515,770,25.23349172538096,6.0
Tennessee,2014,205189,4177,20.356841741029,42.0
Texas,2014,990512,13372,13.500088842941832,1.0
Utah,2014,15845,1839,116.06184916377406,
Vermont,2014,132149,605,4.578165555547148,7.0
Virginia,2014,260942,2228,8.538295866514398,45.0
Washington,2014,227419,4623,20.328116824012067,21.0
West Virginia,2014,52839,2897,54.82692708037624,47.0
Wisconsin,2014,177973,3700,20.789670343254315,26.0
Wyoming,2014,19811,751,37.90823279995962,9.0
Alabama,2015,150860,2845,18.858544345751028,88.0
Alaska,2015,28346,1154,40.71121145840683,
Arizona,2015,221511,9886,44.62983779586567,26.0
Arkansas,2015,98246,3354,34.13879445473607,13.0
California,2015,1283763,24395,19.002728696807743,
Colorado,2015,173245,3834,22.130508816993274,34.0
Connecticut,2015,97647,1370,14.03012893381261,5.0
Delaware,2015,28382,310,10.92241561553097,1.0
District of Columbia,2015,20585,345,16.75977653631285,
Florida,2015,552054,13542,24.53020900129335,228.0
Georgia,2015,338979,6757,19.933388203989036,190.0
Hawaii,2015,46668,915,19.606582669066597,1.0
Idaho,2015,58355,945,16.193985091251818,1.0
Illinois,2015,408295,3742,9.164942014964671,
Indiana,2015,215697,8714,40.39926378206465,46.0
Iowa,2015,100400,3030,30.179282868525895,14.0
Kansas,2015,102716,3131,30.4821060010125,9.0
Kentucky,2015,142062,4136,29.11404879559629,34.0
Louisiana,2015,157642,3226,20.464089519290546,
Maine,2015,33298,665,19.971169439605983,
Maryland,2015,187617,1664,8.869132328093936,15.0
Massachusetts,2015,187066,4663,24.92703110132253,16.0
Michigan,2015,295157,4718,15.984713220421675,34.0
Minnesota,2015,178616,5340,29.89653782415909,33.0
Mississippi,2015,100654,2426,24.10237049694995,17.0
Missouri,2015,192851,5232,27.129753021762912,108.0
Montana,2015,31021,1564,50.41745914058219,
Nebraska,2015,67062,1812,27.019772747606694,40.0
Nevada,2015,91556,2769,30.24378522434357,23.0
New Hampshire,2015,33531,521,15.53786048731025,
New Jersey,2015,272239,3536,12.988587234011293,96.0
New Mexico,2015,70556,1403,19.884914110777256,20.0
New York,2015,601900,7044,11.702940687821897,55.0
North Carolina,2015,311288,4286,13.768600138778238,44.0
North Dakota,2015,24524,793,32.33567117925298,16.0
Ohio,2015,356598,8061,22.60528662527552,45.0
Oklahoma,2015,135423,4178,30.851480176927108,42.0
Oregon,2015,118561,2929,24.704582451227637,8.0
Pennsylvania,2015,367290,8692,23.665223665223667,305.0
Puerto Rico,2015,100365,363,3.6167986848004783,19.0
Rhode Island,2015,28289,928,32.8042702110361,7.0
South Carolina,2015,148363,2821,19.014174693151258,9.0
South Dakota,2015,30615,812,26.522946268169196,
Tennessee,2015,204457,4701,22.99260969299168,41.0
Texas,2015,996070,13219,13.271155641671768,6.0
Utah,2015,130873,1750,13.371742070556952,
Vermont,2015,15766,771,48.9027020169986,
Virginia,2015,262278,2207,8.414735509650066,41.0
Washington,2015,228403,4346,19.027771088821073,33.0
West Virginia,2015,52472,3093,58.94572343345022,48.0
Wisconsin,2015,176217,3591,20.378283593523893,36.0
Wyoming,2015,19649,844,42.95383989007074,5.0
Alabama,2016,148910,2913,19.5621516352159,91.0
Alaska,2016,27905,1050,37.627665292958255,
Arizona,2016,222187,8650,38.9311705905386,17.0
Arkansas,2016,97806,3242,33.14725067991739,24.0
California,2016,1277459,23767,18.604902388256686,
Colorado,2016,171602,4066,23.694362536567173,43.0
Connecticut,2016,96313,1586,16.467143583939862,14.0
Delaware,2016,28344,398,14.041772509173017,2.0
District of Columbia,2016,21367,281,13.15112088734965,
Florida,2016,558670,13332,23.863819428285034,180.0
Georgia,2016,337450,6407,18.986516520966067,173.0
Hawaii,2016,46919,881,18.77704128391483,
Idaho,2016,57990,1010,17.416795999310228,
Illinois,2016,403373,3385,8.391736680442172,
Indiana,2016,215031,9980,46.41191270095939,28.0
Iowa,2016,100885,2925,28.993408336224416,16.0
Kansas,2016,101871,2953,28.98764123253919,10.0
Kentucky,2016,141116,4427,31.37135406332379,49.0
Louisiana,2016,157603,2857,18.127827515973678,
Maine,2016,33347,716,21.471196809308186,
Maryland,2016,187449,1743,9.298529199942383,15.0
Massachusetts,2016,185801,4814,25.909440745744103,21.0
Michigan,2016,294645,4847,16.450304603845307,24.0
Minnesota,2016,178239,5516,30.947211328609338,30.0
Mississippi,2016,97181,2914,29.985285189491773,41.0
Missouri,2016,191672,5608,29.25831629032931,117.0
Montana,2016,31336,1728,55.144243043145266,
Nebraska,2016,67076,1941,28.937324825570993,30.0
Nevada,2016,92521,2592,28.015261400114568,29.0
New Hampshire,2016,33049,635,19.213894520257796,
New Jersey,2016,269530,3248,12.050606611508924,118.0
New Mexico,2016,68867,1487,21.59234466435303,11.0
New York,2016,598437,6719,11.227581182313259,60.0
North Carolina,2016,308419,8489,27.524244615279862,69.0
North Dakota,2016,26173,792,30.260191800710658,6.0
Ohio,2016,356440,8364,23.465379867579394,41.0
Oklahoma,2016,135780,4079,30.041243187509206,36.0
Oregon,2016,119053,2979,25.022468984401907,5.0
Pennsylvania,2016,365819,8245,22.538468477580444,457.0
Puerto Rico,2016,94083,177,1.8813175600267849,2.0
Rhode Island,2016,28035,821,29.28482254324951,5.0
South Carolina,2016,148149,2857,19.2846391133251,3.0
South Dakota,2016,30612,871,28.452894289820986,
Tennessee,2016,205616,4735,23.028363551474595,52.0
Texas,2016,1006680,14908,14.80907537648508,2.0
Utah,2016,130142,1828,14.046195693934317,
Vermont,2016,15758,599,38.01243812666582,6.0
Virginia,2016,261100,2214,8.479509766373038,28.0
Washington,2016,228676,4269,18.668334237086533,28.0
West Virginia,2016,52182,3573,68.47188685753707,51.0
Wisconsin,2016,174128,3581,20.56533125057429,40.0
Wyoming,2016,19311,728,37.69872093625395,6.0
Alabama,2017,149143,3286,22.032545945837217,104.0
Alaska,2017,27737,955,34.43054403864874,
Arizona,2017,222144,7486,33.6988619994238,10.0
Arkansas,2017,97807,2855,29.19013976504749,26.0
California,2017,1275266,21374,16.760424883906573,
Colorado,2017,170797,3933,23.02733654572387,12.0
Connecticut,2017,95198,1492,15.672598163826972,11.0
Delaware,2017,28103,360,12.810020282532115,2.0
District of Columbia,2017,22117,231,10.444454492019714,
