State,Year,Child_population,all_removals,ROR,Housing_ROR
Massachusetts,2020,182942,3209,17.541078593215335,2.0
Michigan,2020,290604,3080,10.598615297793561,11.0
Minnesota,2020,179597,3646,20.301007255132323,12.0
Mississippi,2020,94834,1332,14.045595461543328,21.0
Missouri,2020,190192,4710,24.764448557247412,61.0
Montana,2020,31867,1547,48.545517306304326,
Nebraska,2020,67204,1514,22.528420927325755,36.0
Nevada,2020,93906,2038,21.702553617447236,11.0
New Hampshire,2020,32317,458,14.172107559488815,
New Jersey,2020,265107,1264,4.767886174261713,14.0
New Mexico,2020,62616,920,14.692730292576977,6.0
New York,2020,583126,4713,8.082301252216503,17.0
North Carolina,2020,309831,3883,12.532638761131068,10.0
North Dakota,2020,27552,716,25.98722415795587,24.0
Ohio,2020,354351,7729,21.811706471831602,47.0
Oklahoma,2020,132515,2996,22.608761272308794,13.0
Oregon,2020,117162,1997,17.04477560983937,6.0
Pennsylvania,2020,359858,5217,14.497385079670314,215.0
Puerto Rico,2020,67252,370,5.501695116873847,
Rhode Island,2020,27985,607,21.690191173843132,5.0
South Carolina,2020,149213,1993,13.356745055725707,7.0
South Dakota,2020,30408,826,27.16390423572744,
Tennessee,2020,208551,4257,20.41227325690119,23.0
Texas,2020,1020529,12581,12.327920127698478,4.0
Utah,2020,127589,1198,9.389524175281569,
Vermont,2020,15110,401,26.53871608206486,1.0
Virginia,2020,260193,1776,6.825702459328268,10.0
Washington,2020,233162,3041,13.042434015834484,43.0
West Virginia,2020,49003,3448,70.36303899761238,64.0
Wisconsin,2020,169682,2906,17.12615362855223,6.0
Wyoming,2020,18190,603,33.1500824628917,2.0
Alabama,2021,151356,2710,17.90480720949285,53.0
Alaska,2021,25965,1000,38.513383400731755,
Arizona,2021,210607,6134,29.125337714320985,31.0
Arkansas,2021,95410,2205,23.110785033015407,11.0
California,2021,1203859,17203,14.289879462628098,
Colorado,2021,165967,2701,16.27431959365416,68.0
Connecticut,2021,93734,858,9.153562207950158,7.0
Delaware,2021,27567,229,8.307033772263939,2.0
District of Columbia,2021,21890,184,8.405664687071722,
Florida,2021,571443,10024,17.54155707568384,75.0
Georgia,2021,329092,3592,10.914880945146038,58.0
Hawaii,2021,45527,744,16.341950930217234,
Idaho,2021,58614,1024,17.470228955539632,2.0
Illinois,2021,381213,5207,13.659030515748414,1.0
Indiana,2021,213036,5519,25.906419572278864,14.0
Iowa,2021,99307,2270,22.858408772795475,7.0
Kansas,2021,95187,2413,25.350100328826414,3.0
Kentucky,2021,139220,3956,28.415457549202703,39.0
Louisiana,2021,151391,1768,11.678369255768176,
Maine,2021,32899,730,22.18912428949208,3.0
Maryland,2021,185279,1224,6.606253272092357,14.0
Massachusetts,2021,183397,3393,18.50084788737002,5.0
Michigan,2021,288862,2951,10.215950869273218,10.0
Minnesota,2021,178137,3496,19.625344538192515,16.0
Mississippi,2021,93586,1594,17.032462120402624,20.0
Missouri,2021,188129,5327,28.31567700886094,66.0
Montana,2021,31226,1303,41.72804714020368,
Nebraska,2021,66837,1594,23.849065637296707,6.0
Nevada,2021,92638,2145,23.15464496211058,10.0
New Hampshire,2021,32295,440,13.62440006192909,
New Jersey,2021,271646,1176,4.329163690980173,14.0
New Mexico,2021,61578,737,11.968560200071455,7.0
New York,2021,590167,4818,8.163790926974908,16.0
North Carolina,2021,304889,4143,13.58855189921578,21.0
North Dakota,2021,27612,734,26.582645226713023,14.0
Ohio,2021,351995,8168,23.204875069248143,18.0
Oklahoma,2021,129519,2600,20.074274816822243,36.0
Oregon,2021,114886,1769,15.397872673780965,1.0
Pennsylvania,2021,358907,5777,16.096091745215332,208.0
Puerto Rico,2021,62729,584,9.309888568285801,3.0
Rhode Island,2021,28236,606,21.46196345091373,3.0
South Carolina,2021,146308,2152,14.70869672198376,2.0
South Dakota,2021,30241,817,27.01630237095334,1.0
Tennessee,2021,207621,4808,23.157580398899917,64.0
Texas,2021,1000733,10836,10.828063029799157,2.0
Utah,2021,125819,1187,9.434187205430023,
Vermont,2021,15119,438,28.970169984787354,
Virginia,2021,256734,1805,7.030623135229459,11.0
Washington,2021,230732,2834,12.282648267253784,82.0
West Virginia,2021,48062,3728,77.56647663434731,75.0
Wisconsin,2021,168590,2726,16.16940506554363,16.0
Wyoming,2021,17712,652,36.81120144534779,
